"nomor,nama,nik,akte_lahir,akte_kk,foto_rumah,rekening_listrik,ijazah_sma,nilai_raport,pas_foto,nilai_un,prestasi,kip,kks,pkh,bdt,kartu_miskin,sktm,penghasilan_ortu,status"
"1,Siswa 1,3300000000001,1,1,1,1,1,85,1,87,1,1,0,0,1,1,1,1,1"
"2,Siswa 2,3300000000002,1,1,0,0,1,90,1,64,1,1,0,1,0,1,1,1,1"
"3,Siswa 3,3300000000003,1,1,0,1,1,74,1,72,1,1,1,1,0,1,1,1,0"
"4,Siswa 4,3300000000004,1,1,1,0,1,92,1,92,1,1,0,0,1,1,1,1,1"
"5,Siswa 5,3300000000005,1,1,0,1,1,74,1,90,1,1,0,0,1,1,1,1,0"
"6,Siswa 6,3300000000006,1,1,1,0,1,88,1,88,1,1,0,0,1,1,1,1,1"
"7,Siswa 7,3300000000007,1,1,0,0,1,73,1,76,1,1,0,0,0,1,1,1,0"
"8,Siswa 8,3300000000008,1,1,0,0,1,60,1,85,1,1,0,1,0,1,1,1,0"
"9,Siswa 9,3300000000009,1,1,0,1,1,90,1,89,1,1,0,1,0,1,1,1,1"
"10,Siswa 10,3300000000010,1,1,0,1,1,69,1,72,1,1,0,1,1,1,1,1,0"
"11,Siswa 11,3300000000011,1,1,1,0,1,92,1,55,1,1,0,1,0,1,1,1,1"
"12,Siswa 12,3300000000012,1,1,1,0,1,81,1,71,1,1,0,1,1,1,1,1,1"
"13,Siswa 13,3300000000013,1,1,1,0,1,72,1,74,1,1,0,0,1,1,1,1,0"
"14,Siswa 14,3300000000014,1,1,0,1,1,69,1,68,1,1,1,0,1,1,1,1,0"
"15,Siswa 15,3300000000015,1,1,1,0,1,93,1,67,1,1,1,0,0,1,1,1,1"
"16,Siswa 16,3300000000016,1,1,0,1,1,68,1,82,1,1,0,0,0,1,1,1,0"
"17,Siswa 17,3300000000017,1,1,1,1,1,77,1,73,1,1,0,1,1,1,1,1,0"
"18,Siswa 18,3300000000018,1,1,1,1,1,88,1,73,1,1,0,0,0,1,1,1,1"
"19,Siswa 19,3300000000019,1,1,1,0,1,98,1,78,1,1,0,0,1,1,1,1,1"
"20,Siswa 20,3300000000020,1,1,0,0,1,71,1,58,1,1,0,0,0,1,1,1,0"
"21,Siswa 21,3300000000021,1,1,0,0,1,65,1,77,1,1,0,0,1,1,1,1,0"
"22,Siswa 22,3300000000022,1,1,0,1,1,91,1,62,1,1,0,0,1,1,1,1,1"
"23,Siswa 23,3300000000023,1,1,1,0,1,87,1,74,1,1,0,1,0,1,1,1,1"
"24,Siswa 24,3300000000024,1,1,0,1,1,77,1,82,1,1,0,1,1,1,1,1,0"
"25,Siswa 25,3300000000025,1,1,1,0,1,84,1,70,1,1,0,0,1,1,1,1,1"
"26,Siswa 26,3300000000026,1,1,1,0,1,85,1,92,1,1,0,1,1,1,1,1,1"
