nomor,nama,nik,akte_lahir,akte_kk,foto_rumah,rekening_listrik,ijazah_sma,nilai_raport,pas_foto,nilai_un,prestasi,kip,kks,pkh,bdt,kartu_miskin,sktm,penghasilan_ortu,status
1,Budi Santoso,1234567890123456,TRUE,TRUE,TRUE,FALSE,TRUE,85,TRUE,75,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
2,Siti Aminah,2345678901234567,TRUE,TRUE,FALSE,TRUE,TRUE,90,TRUE,80,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
3,Joko Susilo,3456789012345678,FALSE,TRUE,FALSE,FALSE,TRUE,78,TRUE,70,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
4,Dewi Lestari,4567890123456789,TRUE,FALSE,TRUE,TRUE,TRUE,92,TRUE,85,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1
5,Ahmad Fauzi,5678901234567890,TRUE,TRUE,TRUE,FALSE,FALSE,80,TRUE,72,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
6,Fitriani Anwar,6789012345678901,TRUE,TRUE,FALSE,TRUE,TRUE,88,TRUE,79,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
7,Rudi Hermanto,7890123456789012,TRUE,TRUE,TRUE,FALSE,TRUE,75,TRUE,68,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
8,Nina Karina,8901234567890123,TRUE,TRUE,FALSE,TRUE,TRUE,81,TRUE,76,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1
9,Eko Prasetyo,9012345678901234,FALSE,TRUE,TRUE,TRUE,TRUE,95,TRUE,90,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
10,Putri Cahaya,0123456789012345,TRUE,FALSE,FALSE,FALSE,TRUE,83,TRUE,78,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0
11,Bayu Dirgantara,1122334455667788,TRUE,TRUE,TRUE,TRUE,FALSE,87,TRUE,82,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
12,Citra Kirana,2233445566778899,TRUE,TRUE,FALSE,TRUE,TRUE,79,TRUE,71,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
13,Dani Ramadhan,3344556677889900,TRUE,TRUE,TRUE,FALSE,TRUE,84,TRUE,77,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1
14,Endah Permata,4455667788990011,FALSE,TRUE,FALSE,TRUE,TRUE,91,TRUE,86,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
15,Fajar Maulana,5566778899001122,TRUE,TRUE,TRUE,FALSE,TRUE,76,FALSE,69,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
16,Gita Anggraini,6677889900112233,TRUE,FALSE,FALSE,TRUE,TRUE,82,TRUE,74,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
17,Hadi Saputra,7788990011223344,TRUE,TRUE,TRUE,TRUE,TRUE,89,TRUE,83,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1
18,Intan Sari,8899001122334455,TRUE,TRUE,FALSE,FALSE,FALSE,77,TRUE,67,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0
19,Kevin Sanjaya,9900112233445566,TRUE,TRUE,TRUE,FALSE,TRUE,86,TRUE,79,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1
20,Lina Marlina,0011223344556677,TRUE,TRUE,FALSE,TRUE,TRUE,93,TRUE,88,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
21,Mochamad Rizal,1029384756102938,FALSE,TRUE,TRUE,FALSE,TRUE,74,TRUE,66,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
22,Nia Ramadhani,2039485761029384,TRUE,FALSE,FALSE,TRUE,TRUE,80,TRUE,70,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
23,Oscar Wijaya,3049586710293847,TRUE,TRUE,TRUE,TRUE,TRUE,94,FALSE,89,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
24,Putri Utami,4059687102938475,TRUE,TRUE,FALSE,FALSE,TRUE,73,TRUE,65,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0
